"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,11,Burgviertel,173,Haltingerstrasse,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,11,Burgviertel,174,Bläsi,1,1,0,0,0,0,1,1,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,11,Burgviertel,175,Am Riehenring,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,11,Burgviertel,176,Efringerstrasse,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,18,18 - Klybeck,1,0,2,0,2,0,5,3,1,11,Burgviertel,180,Klybeck,0,0,0,0,1,0,1,1,0,1,1
1,1 - Altstadt Grossbasel,19,19 - Kleinhüningen,3,0,0,2,2,3,2,1,0,11,Burgviertel,190,Kleinhüningen,0,0,0,0,2,0,2,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,11,Burgviertel,201,Riehen-Dorf,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,11,Burgviertel,202,Stettenfeld,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,11,Burgviertel,203,Bischoffhöhe,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,11,Burgviertel,204,Moos,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,11,Burgviertel,205,Wenken,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,11,Burgviertel,206,Kornfeld,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,11,Burgviertel,207,Niederholz,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,11,Burgviertel,208,Pfaffenloh,0,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,30,30 - Bettingen,0,0,0,0,0,0,1,0,0,11,Burgviertel,301,Bettingen-Dorf,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,30,30 - Bettingen,0,0,0,0,0,0,1,0,0,11,Burgviertel,302,Chrischona,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,12,Geschäftsviertel,11,Burgviertel,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,12,Geschäftsviertel,12,Geschäftsviertel,0,1,0,1,0,1,0,0,4,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,12,Geschäftsviertel,13,Leonhard,0,2,0,1,0,1,1,1,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,12,Geschäftsviertel,14,Peter,0,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,12,Geschäftsviertel,21,St. Johann und Uni,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,12,Geschäftsviertel,22,Spalen,0,0,0,2,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,12,Geschäftsviertel,23,Steinen,0,1,0,0,2,0,0,0,2,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,12,Geschäftsviertel,24,Aeschen,0,0,0,0,0,5,0,0,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,12,Geschäftsviertel,25,Alban,0,0,0,0,1,0,0,4,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,12,Geschäftsviertel,26,Albantal,0,0,0,0,0,1,0,0,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,16,15,23,11,15,7,21,12,7,12,Geschäftsviertel,31,St. Johann,0,1,0,0,0,0,0,0,1,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,16,15,23,11,15,7,21,12,7,12,Geschäftsviertel,32,Spalen,2,0,4,0,0,0,2,0,1,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,16,15,23,11,15,7,21,12,7,12,Geschäftsviertel,33,Steinen,1,3,0,1,0,0,4,1,0,1,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,16,15,23,11,15,7,21,12,7,12,Geschäftsviertel,34,Markthalle,0,0,1,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,4,4 - Breite,1,6,4,2,0,5,4,3,3,12,Geschäftsviertel,41,Züricherstrasse,0,0,1,0,0,0,0,1,1,1,1
1,1 - Altstadt Grossbasel,4,4 - Breite,1,6,4,2,0,5,4,3,3,12,Geschäftsviertel,42,Lehenmatte,0,1,0,0,0,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,12,Geschäftsviertel,51,Heumatt,0,1,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,12,Geschäftsviertel,52,Peter Merian,0,0,0,0,0,0,0,1,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,12,Geschäftsviertel,53,Luftmatt,1,0,1,0,0,0,2,1,1,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,12,Geschäftsviertel,54,Gellert,0,0,0,0,0,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,6,6,6,3,1,6,6,6,7,12,Geschäftsviertel,55,St. Jakob-Dreispitz,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,9,13,9,6,5,8,7,12,5,12,Geschäftsviertel,61,Margarethen,0,0,0,0,0,0,2,0,0,1,1
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,9,13,9,6,5,8,7,12,5,12,Geschäftsviertel,62,Thierstein,1,1,0,0,0,2,0,0,0,1,1
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,9,13,9,6,5,8,7,12,5,12,Geschäftsviertel,63,Delsbergerallee,0,0,0,0,1,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,3,4,0,2,5,1,2,0,2,12,Geschäftsviertel,71,Thiersteinerrain,0,1,0,0,2,0,0,0,2,1,1
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,3,4,0,2,5,1,2,0,2,12,Geschäftsviertel,72,Batterie-Nord,0,0,0,0,0,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,3,4,0,2,5,1,2,0,2,12,Geschäftsviertel,73,Batterie-Süd,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,12,Geschäftsviertel,81,Paulus,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,12,Geschäftsviertel,82,Bernerring,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,12,Geschäftsviertel,83,Holee,0,0,0,0,0,1,0,2,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,12,Geschäftsviertel,84,Schützenmatte,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,1,5,2,2,4,3,0,11,1,12,Geschäftsviertel,85,Weiherhof,0,0,0,0,2,1,0,0,0,1,1
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,6,4,4,2,3,2,5,3,4,12,Geschäftsviertel,91,Blauen,0,0,0,1,1,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,6,4,4,2,3,2,5,3,4,12,Geschäftsviertel,92,Gottfried Keller,0,0,1,0,1,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,7,8,8,5,13,4,6,6,10,12,Geschäftsviertel,101,Oekolampad,2,1,2,0,1,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,7,8,8,5,13,4,6,6,10,12,Geschäftsviertel,102,Wasgenring-Ost,0,0,2,1,1,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,7,8,8,5,13,4,6,6,10,12,Geschäftsviertel,103,Wasgenring-West,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,12,Geschäftsviertel,111,Pestalozzi,0,2,0,0,0,0,0,0,1,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,12,Geschäftsviertel,112,Kannenfeld,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,12,Geschäftsviertel,113,Landskron,1,4,0,1,2,2,1,1,0,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,12,Geschäftsviertel,114,Lysbüchel,0,0,0,0,2,0,0,0,0,1,1
