"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,3,Am Ring,5,3,4,2,1,3,5,1,2,1,5,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,8,Bachletten,0,1,2,0,0,1,3,1,1,0,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,30,Bettingen,0,0,0,0,0,0,0,0,1,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,4,Breite,2,2,6,1,1,2,1,1,2,1,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,7,Bruderholz,1,3,0,4,0,0,1,0,0,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,13,Clara,0,7,0,0,0,1,0,1,1,0,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,9,Gotthelf,2,0,1,1,1,2,0,2,1,1,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,6,Gundeldingen,7,0,4,6,1,0,3,0,1,2,2,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,15,Hirzbrunnen,0,0,1,1,3,0,0,4,0,0,2,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,10,Iselin,2,1,2,4,0,6,0,0,0,3,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,19,Kleinhüningen,0,0,1,1,0,0,0,0,0,0,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,18,Klybeck,0,0,3,0,4,0,0,0,0,2,8,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,17,Matthäus,4,7,4,5,3,7,2,1,5,5,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,20,Riehen,2,4,2,0,6,4,0,1,0,2,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,16,Rosental,1,0,2,2,3,2,1,3,4,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,5,St. Alban,2,1,0,1,1,7,5,2,0,0,2,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,11,St. Johann,1,3,3,5,1,2,4,6,3,3,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,2,Vorstädte,3,1,1,0,1,1,0,0,0,0,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,5338,5604,5595,6225,5851,5928,6131,5970,6184,5631,6208,AR,AR,14,Wettstein,2,1,3,0,1,0,3,1,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,1,Altstadt Grossbasel,0,2,1,1,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,12,Altstadt Kleinbasel,1,0,0,0,0,0,0,0,0,1,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,3,Am Ring,0,6,2,0,0,2,0,0,5,1,2,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,8,Bachletten,0,1,0,1,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,4,Breite,0,3,0,0,0,0,0,3,1,0,1,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,7,Bruderholz,0,0,0,0,0,0,0,0,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,13,Clara,0,2,0,2,0,0,0,0,1,0,1,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,9,Gotthelf,0,0,0,0,0,1,0,1,0,1,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,6,Gundeldingen,1,2,0,1,3,0,2,2,1,2,2,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,15,Hirzbrunnen,0,1,0,0,1,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,10,Iselin,0,1,1,3,0,4,2,3,0,0,6,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,19,Kleinhüningen,0,0,0,0,0,2,0,0,0,0,1,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,18,Klybeck,0,0,0,0,0,0,0,0,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,17,Matthäus,1,4,3,1,1,0,2,4,3,0,4,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,20,Riehen,3,0,0,0,0,0,3,0,0,1,4,1,1
